,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
5385,CNST,FAM229A,ZMYM6NB,CAPS2,DHX15,AXL,CD5,NET1
5386,RP11-290D2.3,TLR3,CCDC6,LINC00894,BCDIN3D,CYTH3,THTPA,SOCS6
5387,RP11-214N9.1,PAXIP1,ZNF253,ANKS1A,JARID2-AS1,ZBTB3,CTD-2544N14.3,SLC35F2
5388,TECPR2,PLXDC1,CTD-2547L16.1,IPO9-AS1,RP11-50E11.3,PCSK1N,RP11-677M14.2,SPAG4
5389,POR,F2RL1,RP11-290D2.6,ECI1,SSH1,LRP12,GRB10,EPS8
5390,IGSF9B,SLC16A4,AD000671.6,DIP2A,RP11-259K5.2,RDH10,AC068580.6,ZNF282
5391,SMG8,UBTD2,GBA,CD22,TTC30A,ANAPC15,SLC45A4,C7orf13
5392,IFT140,LINC00656,ZNF512B,RP11-98D18.9,CTH,DNAL1,RP11-351I24.1,AC009133.14
5393,CTD-2020K17.4,ZNF433,RP11-793H13.3,TULP2,MAD2L1,PAM,CELF2-AS1,TMEM63B
5394,KIF9,RP11-96D1.11,AC008440.5,RIN1,DYRK1A,LHFPL2,DLGAP1-AS2,RNF31
5395,ACSL1,SLC16A1-AS1,AC093391.2,CACNA1C,NRBP2,POU5F2,STX16-NPEPL1,CCDC41
5396,STARD10,EHHADH,HP,ZNF432,AC015849.19,CCRL2,RP11-661A12.5,ST14
5397,LINC00910,AC107081.5,SOBP,ZSCAN9,RRP36,CNOT1,RP11-511I2.2,MSC
5398,TTC3,RP11-337C18.8,WBP2NL,CALCRL,PDE9A,MRPL2,RAB15,RP11-141B14.1
5399,ORAOV1,KLHL3,C12orf60,KAT6B,VPS9D1-AS1,MEX3B,ALS2CR12,LINC01135
5400,C22orf34,TPM2,RP11-572O17.1,BMP1,AMPD3,OIP5,AC009120.6,MFHAS1
5401,CTD-2035E11.4,MANEA-AS1,SLC39A14,HIST1H3D,RARA,ZEB1,DNAJB5,CTC-425F1.4
5402,PRR11,RP11-356C4.3,MTHFSD,TIMD4,CTTNBP2NL,RWDD3,DUOX1,LINC00672
5403,CTDSPL,YEATS4,RP11-398K22.12,SPIN4,LINC01137,AREL1,RP11-275I4.1,HSPA1B
5404,MRPS35,INTS2,AC092295.7,SPATA6,EPDR1,CACNA1C-AS2,RP13-753N3.1,STK19
5405,ARHGEF10,CTIF,OVGP1,CCNB1,RP11-245J9.4,SERTAD2,RP11-166B2.8,ZNF765
5406,TMEM159,MSS51,VSIG4,ATAD2B,DHRS1,RP11-383C5.4,RP11-105N14.1,RSPH3
5407,PIGQ,MBOAT2,MST1,CNEP1R1,MFSD7,RBL1,C22orf26,KCTD11
5408,AC021860.1,KIF11,ZBTB22,REEP4,LRTOMT,TMEM201,SALL2,E2F6
5409,MRPS18A,CTNND1,RP11-490M8.1,RP5-892K4.1,ULK4,DCBLD1,TTC4,UVSSA
5410,WDR65,ARCN1,CTD-2538C1.2,SERINC4,SSH3,ZNF222,TAF6,RP11-23P13.6
5411,GATA2,LPHN1,AC022400.2,TEF,LRRC29,C2orf43,C15orf26,ST3GAL6
5412,GZF1,FDXR,RP11-277P12.20,LINC00304,PEX10,CCDC151,ADORA2B,OR2A1-AS1
5413,NDUFAF3,ZXDA,PPAP2A,DHRS7B,KIAA2013,ASUN,TLR9,SPA17
5414,UST,RP11-553L6.2,ZNF407,EMD,ZNF248,FAM19A2,PSD,TBC1D32
5415,RET,NADK,RP11-582J16.5,MDGA1,UPK2,RP11-190C22.8,DCBLD2,SUFU
5416,NPHP4,KB-1460A1.5,RP11-96K19.5,BEST4,RP11-635N19.1,ZNF318,RP11-336K24.12,PSMC3IP
5417,PRDM15,ADORA2B,EAF1,PAXBP1-AS1,CRB1,TTC24,CCNI2,TMEM121
5418,TSC1,CTB-96E2.7,NETO2,AURKA,DNAJC16,MYLK-AS1,CTD-2256P15.4,SAP30L
5419,C1orf172,LTB4R2-1,BRD3,RAD51,ANKS1B,RP11-1348G14.5,WFIKKN1,SIRPB2
5420,CACNA1C-AS1,ZNF154,CCDC122,MYPOP,MCTP1,AC093391.2,AC016683.5,DPY19L3
5421,ZNF283,CTA-14H9.5,FBXW8,TSEN34,CCDC15,CYB5D1,AP001610.5,CEP72
5422,COPZ2,RNU11,GS1-393G12.13,ZBTB9,LIPC,ZNF805,CD248,SLC25A29
5423,ARFRP1,AP000476.1,AC010761.8,BLVRA,PLEKHM1,C1orf51,RNF122,AC010761.8
5424,RP11-154H23.3,ABCC6,SNX8,CAPS,PEX3,KRTCAP3,ANKRD6,RP11-809N8.4
5425,ZNF766,TMEM241,IGF2BP3,ZNF681,ZNF165,SCAMP4,FCHO2,ZFP41
5426,CEP192,AC137934.1,CMIP,RP11-932O9.7,UBTD2,TM6SF1,RP11-732M18.3,TMEM51
5427,TRIM41,ZNF358,RP11-452H21.4,SERPINI1,OGFOD1,GAN,ZNF365,RP11-37B2.1
5428,TMEM9B-AS1,MEF2BNB-MEF2B,MFSD2A,PCNT,MAMSTR,SCARF1,MBLAC1,RP11-649E7.5
5429,SORBS3,DLEC1,PKD1,KLHDC8B,ADAT3,TBCEL,RP1-92O14.3,RP11-212P7.2
5430,RP1-234P15.4,AC005932.1,SS18L1,KCNN1,LINC00996,EPN1,POU5F1B,AARS2
5431,KCNAB3,RP11-479G22.8,CTH,BAALC,ZNF330,GRPEL2,RP11-600F24.7,ITPRIPL2
5432,IKZF4,TIGD3,BRD7,ZNF566,RP11-936I5.1,NFRKB,CTD-2366F13.1,RP11-334C17.5
5433,WRNIP1,CEP170B,FLJ45079,PARD6B,ZFP69B,TUBD1,RP11-91G21.1,MVB12B
5434,TBC1D30,MFSD9,RP5-1112D6.4,HIF1AN,GPD2,ABHD4,STEAP3,VDR
5435,ARFGEF1,FAM175A,RP11-259K5.2,AGAP5,LCN8,RP3-322G13.5,PDRG1,B3GALT2
5436,RP11-434C1.1,NMUR1,ZNF585A,SUN3,UHRF1BP1L,ZNF549,RP11-791G15.2,SPIN4
5437,RABL2A,ACY1,USPL1,RNF38,ATP10D,ST6GALNAC3,RP11-647K16.1,FEM1C
5438,F2RL1,AC004257.3,EXOSC9,CTD-2135D7.5,S100A12,CTD-2353F22.1,RP11-252A24.3,FOLR2
5439,HIST2H2AC,RP11-362F19.3,PCSK4,FKTN,MGAT4B,CANT1,GEN1,HECTD3
5440,TMEM234,RP11-1055B8.4,CTD-2007H13.3,NBPF12,SLC27A2,RP3-395M20.9,BFSP2,ZER1
5441,KIF3C,AC004463.6,CCDC163P,MYOM1,RP5-1159O4.1,RP11-656E20.5,AC015922.6,CCDC30
5442,APOM,ICA1,ZKSCAN7,ARHGAP5,ZNF577,NPTXR,AC022182.1,NPTN
5443,RAB3GAP1,BCDIN3D,ADAMTSL5,KIAA0556,MYPOP,KB-1507C5.2,ZNF624,RP11-407N17.5
5444,CTB-102L5.4,WBP1,SUV420H1,AP006222.2,METTL21B,ARRDC3,Y_RNA,ZNF551
5445,SOCS6,UBXN7-AS1,CTIF,GPR150,ZNF717,ERCC6,AC004540.4,KLK1
5446,AC009948.5,PKD2L1,SCARF1,SENP1,TMEM177,RP11-472N13.3,SEZ6,CCDC183
5447,RP11-1070N10.3,SAMHD1,MAP1S,FAM221A,RAP1GDS1,ZFAT,RP11-77H9.8,KRT7
5448,NUDT11,RP11-191L17.1,SMAD4,SLCO4A1,C17orf80,RNF43,MMP28,CHAF1B
5449,PM20D1,TELO2,FRS3,CSNK2A3,SLC25A1,F12,IFNL1,AC109826.1
5450,RP11-430H10.1,RP5-1159O4.1,PRADC1,TEPP,ZYX,KIF9,PLVAP,RP11-344P13.6
5451,IZUMO4,CTD-2270L9.4,DCAF17,FTCDNL1,EPB42,CXorf57,CRHBP,NAB2
5452,SLC38A7,SFTPD,RP11-66B24.2,SRR,EEF1E1,CCR2,ZSWIM4,CDAN1
5453,SNX24,HIST1H2AL,AC002116.7,PGRMC1,ZNF771,CTD-2630F21.1,TNKS1BP1,PLCB1
5454,FAM115A,FAM149B1,VPS13A-AS1,DMC1,ZNF347,MYCBPAP,RTKN,PTX3
5455,RP11-438L19.1,SLC22A17,MMS22L,EPHX2,LACE1,LDOC1,AC109333.10,EPHA1
5456,ITSN1,LRRC37A,RP11-571M6.7,KIFC3,ZNF343,FBXO25,RP11-159G9.5,LENG9
5457,MCOLN2,HMGN3,RP11-421M1.8,NBPF3,DDX59,TIPARP-AS1,RP5-1142A6.8,UAP1L1
5458,LRRC1,IST1,CTD-3138B18.5,GP6,ZER1,GAMT,SCARF1,CTTNBP2NL
5459,C11orf1,MCEE,SPIN4,LRP5,PAXIP1,RP11-290F20.3,CTC-338M12.6,CAPS
5460,RP11-589C21.5,C16orf86,AGAP5,PIP5K1C,RP11-5C23.1,RP11-443B7.3,SENP8,ZNF507
5461,RPEL1,DPH6,FSD1,SLC27A2,CTB-55O6.4,KIF1B,RP11-181C3.1,BRWD3
5462,C2orf81,MYH3,RP11-163N6.2,RPS4Y2,TMEM220,CCDC58,KIAA1107,ZNF75D
5463,NUDCD1,C19orf40,PHOSPHO2,RP11-214O1.3,RP5-1085F17.3,AP000350.4,GRIK4,RERE
5464,PRMT7,TSPAN17,RAB11B,AP003774.6,CDC123,RP11-315I20.1,CORO6,IQCE
5465,LINC00562,LRRC37A2,RP5-935K16.1,KLHDC1,SOS2,YTHDC2,GLCE,GEMIN5
5466,RP3-395M20.9,RP11-15H20.7,ABHD1,C6orf99,CASZ1,TUFT1,AP4B1-AS1,IKZF2
5467,MFSD5,AF131217.1,CCNYL1,RELL1,UBXN10,SBK1,RP11-243J16.7,AGBL2
5468,GNMT,ARMC2,NAGPA,RP4-798A10.2,C6orf89,MOSPD1,FAM179A,NLN
5469,HIVEP1,WDR60,NFS1,TMEM170B,SFXN5,C8orf88,RP11-728F11.4,DNAH1
5470,NAB1,ZNF93,CENPF,ZNF554,KBTBD11,RCAN1,RP11-58B17.2,ACOX3
5471,GSTA4,FAM115C,ADAMTS6,A2M-AS1,HECTD3,ABHD17B,TDRP,KIFC2
5472,KIF1B,MYSM1,TMEM41B,ATAD3B,DHX35,AD000090.2,CTB-113P19.5,C1orf200
5473,BOP1,USP53,CTA-445C9.15,RSBN1L,NPAS2,SFTPD,BMP1,IGFBP4
5474,SLC39A6,CTD-2196E14.4,CTD-2541M15.1,ITPKB-AS1,RUSC1-AS1,TMEM104,AZI1,SBNO2
5475,FAM86C1,POGLUT1,RP11-342I1.2,SLC3A1,ZNF18,CTD-2165H16.4,ZNF80,ZKSCAN5
5476,SLC38A9,AVL9,ZNF653,PLEKHB1,RACGAP1,C11orf30,RP11-472N13.3,TMEM143
5477,RP11-101E13.5,RP1-140A9.1,CTD-2192J16.22,FEM1A,CACNA1C-AS2,TMEM19,DYSF,TMEM220
5478,ZFYVE1,TMEM144,RP5-943J3.2,CRIP1-1,PTGR2,TMEM88,IGF2BP3,ZNF260
5479,E2F1,KLC4,LMO7,SYNM,PPP1R13L,IFFO2,HYKK,ZBTB49
5480,AP000442.1,STX1A,CNNM2,STARD10,CEP170,PLEKHM3,TPBG,HIST1H4E
5481,TRIM23,RP3-508I15.19,LAMC1,RP11-158I9.5,TSPAN5,WDR41,GPR153,TCEANC
5482,MORN3,RFPL1S,CC2D1B,IPMK,MAN1C1,B3GAT2,ANKRD34A,TMEM65
5483,CHRNE,TCFL5,MCAM,TMEM208,GABPB1,PHLDA3,FAM127C,MPZ
5484,LAMTOR3,ARRDC5,SLC16A1-AS1,SAR1B,LINC01146,KRBA1,PDGFB,ATP10A
5485,PDE5A,CCL3L1,RP11-782C8.1,RP11-192H23.4,RFX2,ZNF799,FBXL14,TIMELESS
5486,LL22NC03-2H8.5,RP11-894P9.1,RP11-318E3.9,TET3,C19orf40,INTS2,ZNF596,FXR2
5487,USP4,MIR3615,BFSP2,UBE2C,RP11-216B9.6,GATM,RP11-533E19.5,UCP3
5488,ATAD5,DPY19L4,AC074117.10,UBAP1L,FAM101B,FLAD1,GTF2IRD1,SNURF
5489,CAMSAP2,ZNF600,DZANK1,ADCK2,MBLAC2,ANK3,ZNF70,P2RX5-TAX1BP3
5490,SEC24C,TBC1D25,TOMM40L,MANBAL,PARG,SETD8,MFSD2B,UBE2G1
5491,NRBP2,QSOX2,SLC14A1,ZNF571-AS1,CCDC78,ADCK2,LINC00957,VNN1
5492,NLRX1,SPR,LIMK2,TUBB2A,KIAA1467,FAM218A,HLA-DQB1-AS1,RP3-508I15.22
5493,USP49,ZBTB25,CCDC121,BNIP1,EIF3M,PIK3C2B,AC010894.5,NADK2
5494,PHF13,PWP1,CYSLTR2,NT5DC3,FLJ45079,MEI1,PDE8B,RTKN2
5495,RNF144B,RPTOR,MDGA1,RASGRF2,AKT1,FBXO5,NIPSNAP3B,TMEM194A
5496,ABLIM2,RP11-472N13.3,RP11-252A24.3,EIF3C,NDC1,MERTK,CBWD3,FAM198B
5497,CRHBP,PDE6B,SAP30,EPHX1,SPSB1,ANKRD13C,RP1-202O8.3,SCMH1
5498,RPS4Y1,LINC01024,RP11-793H13.11,TNKS2-AS1,RP11-309M23.1,WDR47,KRTAP5-AS1,VIT
5499,PEX12,ZMYM6NB,RP11-96K19.2,HOMER2,NRM,HIST1H3D,ZNF653,RAI1
5500,GOLGA5,ERC1,DNAJB4,CRCP,ATP2A2,RP11-386G11.10,C17orf107,ALKBH8
5501,RP11-1008C21.1,RP11-580I16.2,RP11-338I21.1,INTU,PTOV1-AS1,CASS4,DAB1,NR4A3
5502,MAK16,CCNE2,C19orf54,CTC-250I14.6,FAM115A,APOBEC3H,RP3-508I15.21,CTD-2017D11.1
5503,TSNARE1,PPIP5K1,B3GNT4,RP13-638C3.4,LSG1,CNIH3,SEMA5A,ALG10
5504,CNKSR1,RP11-14N7.2,ACAP2,KCTD1,TAF4B,TCF19,NUGGC,KCNE1
5505,TSPAN7,VANGL1,SLC16A6,C8orf58,RP11-875O11.1,SOX7,PDE2A,PDIA5
5506,CCDC85C,PPP1R3D,AC022182.1,CTD-2186M15.3,RAD54L2,DENND1B,C16orf46,RP4-798A10.2
5507,ZNF79,HABP4,WDHD1,C1orf61,KDM6A,PABPC1L,SV2A,ZNF23
5508,WDR62,USP35,RP11-326F20.5,DIP2C,CCDC138,POU6F1,RP1-261D10.2,IFT46
5509,PWWP2B,CNFN,RP11-390F4.3,LINC00092,RP11-1391J7.1,CSRP2BP,AC004447.2,IFT122
5510,DTWD1,AD000671.6,CTB-113P19.5,ADAM9,NEK2,UBE4A,ABCG2,NR1H3
5511,CAHM,LIPT1,RP11-513M16.8,PTPN13,SPTSSA,TMEM194B,ZBTB39,LINC00843
5512,TMEM171,KCNK12,CTC-428G20.3,LRRC20,FAM122B,METTL20,RP11-10K16.1,FAM219A
5513,NIPAL1,FLCN,ZNF329,H1FX-AS1,RP11-401F2.3,RP11-252A24.7,AC007036.6,DUSP16
5514,GCNT4,SPATA13,TEF,CTD-2623N2.11,SETD2,C17orf58,RP5-930J4.4,SMYD5
5515,XPO5,MAPK7,LRRC56,GLTSCR1,ORC6,CACFD1,DOK6,SAMD10
5516,FAM111A,PSMC3IP,CA11,GNS,DPH2,TAF5,PLEK2,RP11-533E19.7
5517,RILP,SLC26A11,DLEC1,PLCE1,ZNF404,ZFP82,SPTLC3,PEAK1
5518,NEDD4,FUNDC1,CEP112,MACROD1,SPICE1,GOLGA7B,CACNB1,FAM13A
5519,CYB5R2,NBPF15,AUH,VEGFA,AC004381.6,XYLT2,DND1,AC002116.7
5520,UBXN2B,TRIM74,CTD-2623N2.11,RP11-104L21.3,RELL1,GMEB1,CTC-523E23.1,RN7SL832P
5521,RP11-381K20.2,AC024592.12,IKZF3,TRIB1,TAPT1,RP11-1060J15.4,CTD-2023M8.1,CPNE8
5522,RP13-582O9.7,DDX11-AS1,BGLAP,LMOD3,CD68,FBXO48,ECT2,TRMT10A
5523,PTGIR,AGAP4,P2RY1,PHF13,KCNMB3,IFT81,PTPN13,GPD2
5524,RP4-594I10.3,NUBP2,CTB-61M7.2,CTD-2260A17.1,PPP4R1L,GINS3,ZNF644,RP11-131L23.1
5525,RP11-173M1.8,RP11-509J21.2,SAYSD1,FBXO36,TNK1,RP5-1092A3.4,RP11-416N2.4,LARGE
5526,FASTKD5,RP6-206I17.1,STX1A,AC009961.3,RCN3,LIN37,HP,RP11-1407O15.2
5527,ZFP2,SYCE1L,CDC27,ZEB2-AS1,BAG4,CLDN15,STAP2,PPP4R1L
5528,PRRT1,RP11-560J1.2,VIM-AS1,HBEGF,A2M,GEMIN5,FAM65C,C17orf58
5529,NIPA1,CNOT1,ZNF17,MCM7,GMFB,PPP1R26,MTFR2,ANKRD35
5530,PRSS36,RP11-333E1.1,AC092667.2,MYO19,ZDHHC21,ZNF765,ARHGAP42,S100A13
5531,NSUN7,ZNF596,IP6K2,HOMER3,CARD9,GDPD1,LINC01146,ZSWIM6
5532,C17orf51,FAM21B,EIF2B3,NDST1,ZNF776,CTB-96E2.7,RP11-72M17.1,C5orf34
5533,HILPDA,DHCR24,ZNF808,EFEMP2,PLEKHG4,MED13,BZRAP1,PIK3C2B
5534,TNFRSF8,SERPINB2,CUZD1,CEACAM3,C5orf66,NHLRC1,RP11-440L14.1,GALNT7
5535,RAB25,GATS,CASK,PCSK5,KIAA1468,ZNF883,TET1,TMCC1
5536,FCGBP,CLTCL1,RP3-510H16.3,WASH4P,RASGEF1A,TMEM254,NCOA6,EPT1
5537,LONRF3,HCG14,RP11-775D22.2,KATNAL1,RAB30,KDM6A,C6orf229,CHTF18
5538,ANKFY1,RP11-440L14.1,PWWP2B,RP11-629O1.2,RBBP8,CDC6,CALD1,RP11-301O19.1
5539,PCOLCE,RP11-162G10.5,DBT,ORAOV1,USP46-AS1,RP11-50E11.3,RP11-793H13.3,DVL3
5540,KDELR1,OVCH1-AS1,PDE6B,CAPN10-AS1,FAM21A,RP11-464F9.20,RP11-36B15.1,ZNF552
5541,CSNK2A2,ARL17A,ACBD5,MFSD9,RP11-298J20.3,ZCCHC4,ZNF322,AC026806.2
5542,POLN,CASS4,TRBV11-2,SEPP1,BIRC5,RP11-395G23.3,PUS7,SCRIB
5543,RP13-516M14.4,EIF5A2,RP11-292F22.7,KLHL25,KDELC2,MCM10,RP11-509J21.2,AC074117.10
5544,WDR35,AC006129.1,TMOD2,RP3-510H16.3,AC008440.5,SARM1,MTUS1,FNIP1
5545,SYNJ2,CA11,ZNF175,MAMSTR,KRT2,TIGD3,LINC00865,GNG3
5546,TM6SF1,RP11-312B8.1,LMBRD2,WBSCR27,AC004447.2,AZU1,RP11-597D13.9,CTD-2270L9.4
5547,C19orf53,AFG3L2,SRCRB4D,LENG1,CMTM4,ZFC3H1,CRTAM,SERPINH1
5548,PCGF1,RP4-794H19.1,C14orf132,ATP6V1C2,SLC37A4,UCHL1,RP11-385F7.1,GPAT2
5549,ALS2CR12,FAM169A,ECE1,IFT140,BAMBI,FOXM1,CTRL,SNAPC4
5550,LINC00663,ZNF845,MIR146A,PINX1,RP11-169D4.2,SMG8,EFNA3,PRKCE
5551,MAX,MTSS1L,DBF4,SMUG1,PKD2L1,RP11-531A24.5,ZNF304,RP11-111A22.1
5552,GNAZ,RNF219-AS1,ZNF502,GHRL,SHF,ESCO2,PPP2R3A,NLRP12
5553,RP6-206I17.2,ANGPT2,HIST1H2BJ,NDUFB9,SLC45A4,ADIRF,CTB-118N6.3,PRMT6
5554,POP4,ENPP4,NCKAP1,GCSH,RP11-115C21.2,CRTC3,C8orf37,FAM193B
5555,RP11-480D4.6,TFAP2E,AC093388.3,EBF1,EXOSC2,CLDN23,IPO9-AS1,ZNF473
5556,FITM2,PLEKHN1,POLN,CTD-2368P22.1,CTIF,RP3-466P17.1,CTD-3131K8.2,PPP1R12B
5557,NPIPA5,EIF4EBP3,FITM2,BBS1,FAM13A,PARP15,TIGD5,ZNF419
5558,CCNE2,TRAM2,RP11-391M1.4,RP11-680A11.5,SETMAR,RP11-138P22.1,CTIF,ZDHHC14
5559,AMDHD1,PRC1,RP11-1008C21.1,ERLIN1,FASTKD3,NIPAL1,RP11-339B21.11,CCDC24
5560,ADCY4,CCDC66,RP11-483I13.5,DUSP8,ZFP28,CELSR3,TDRD9,RP6-91H8.3
5561,FAM101B,PLEKHA7,RUNDC3B,MGME1,RP11-271K21.11,RP5-1142A6.2,PRDM15,TMEM194B
5562,RP11-350F4.2,DGAT2,ZNF532,CTBP1-AS2,UBP1,ZNF625,ZFP37,PVRL2
5563,MYOF,GPR124,RP13-516M14.4,AMACR,TCEANC2,TRIM31,AC004158.2,FAM177B
5564,KLHL32,SCARF1,ACSBG1,HOOK1,ZNF514,AL590822.2,SPDYA,AC010226.4
5565,SRRM5,CEBPA-AS1,RNF212,DDX10,VAMP4,TMEM67,AD000671.6,MDC1
5566,CES1,RP11-1114A5.4,TIGD7,UBE2O,ASB7,ZSCAN2,AP001462.6,CLOCK
5567,RPA4,ANKRD34B,DNAH6,MST1,AKR1CL1,GLCE,KRT72,SLCO4C1
5568,BCL2L15,CCDC120,RP11-425D10.10,ANKMY1,ZNF257,PAPL,AC026471.6,TMEM150B
5569,ZIK1,FTX,SLC3A1,GTF3C3,PXN-AS1,CCDC3,ATP8B4,FAM206A
5570,FAM229A,C14orf182,C16orf93,LINC00630,DDX11-AS1,RP4-798A10.7,RSG1,FASN
5571,CEP128,KLHL2,GET4,LHFPL2,KLHL18,CTC-459I6.1,GPAM,ZNRD1-AS1
5572,RAI1,MAP3K10,NBPF14,NBAS,C2orf49,ARHGEF10,RP11-498C9.15,FCAR
5573,HEATR5B,TESK2,ZRANB3,ZFP91,ACSBG1,DNAJC9-AS1,DAPK2,RP11-22P6.2
5574,BMP2K,FBXL17,POLA2,GPR27,ZNF148,SKA1,ANKS6,WNT7A
5575,MANSC1,CLDN23,TOMM34,LRRC40,NUDT7,RP3-486I3.7,RP11-421M1.8,RABGEF1
5576,APOOL,TGFBR3L,CCDC30,GBE1,AC005253.2,RP11-347C12.1,CYSLTR2,ZNF749
5577,TNFRSF10D,RP11-98D18.3,RP11-568N6.1,ZFAT,NUP188,TNKS2,TULP2,LENG8-AS1
5578,SNX33,RP11-61J19.4,AL353354.2,ADCK4,ARHGAP12,RASIP1,SELP,NUP188
5579,CENPU,PGF,PRTFDC1,EAF1,RP11-157J24.2,KLHL29,RAB11FIP3,RP11-262H14.4
5580,SLFN12,AP006222.2,AREL1,CTD-2012K14.7,NUP98,KIF9-AS1,S100P,RPH3AL
5581,MSRB3,SLC29A3,C10ORF68,NMRK1,DLEC1,RP4-583P15.15,ZGPAT,ZNF234
5582,ZNF552,KIF27,HMGN3-AS1,LPCAT1,D2HGDH,KIF18A,CTD-2012J19.3,PAX8
5583,SLC6A4,HCAR2,NELFCD,GOT1,TTC30B,TRIM60,NPR2,MED20
5584,ZNF616,PIWIL1,CEP104,SIGLEC7,DENND1A,RP11-661A12.12,ABHD1,PGAP1
5585,U47924.31,ZNF347,LEPR,MB21D2,OSBPL7,SLC12A5,GNAO1,TRIM24
5586,LPCAT2,LETMD1,ARSA,ARMCX6,MEF2A,RBM45,SEMA4F,PMEPA1
5587,GTSCR1,RP11-793H13.10,AC004893.11,WFS1,ALDH3B1,SOX12,PBX1,RP3-467N11.1
5588,RP11-178C3.2,RAB23,ELP6,PXN,RABEPK,FBXL22,ZUFSP,ZNF865
5589,HIST1H4E,SCO1,PALB2,ZNF69,TULP4,GPR125,BAMBI,PRSS36
5590,TIPIN,FAM132A,RP11-355B11.2,ABCB7,MMAA,RP11-260M2.1,TGM1,C8orf31
5591,S100Z,AF213884.2,GS1-124K5.11,PFAS,CTRL,SEMA4G,MID2,BCORL1
5592,XXbac-BPG252P9.10,RP11-456D7.1,LDLRAD3,SNAPC1,F12,RP11-392P7.6,KEAP1,ARL15
5593,SDCBP,RP11-295G20.2,SLC35E2,ARIH1,PALLD,ZNF208,BOLA3-AS1,BTBD6
5594,RPTOR,C1orf204,NDUFB3,UCHL3,FAM206A,COL4A4,TMEM117,HS6ST1
5595,LINC00342,RP11-395G23.3,THBS1,MEFV,TBRG1,ZNF709,ZSWIM1,USP46
5596,RP11-389O22.1,GTF2I,RSPH3,TRAM2,LYRM5,PSMA8,TLDC2,MTMR12
5597,ZNF480,TMEM38A,ZSWIM1,ZMYM6NB,TMEM163,RP4-784A16.5,AP001046.6,ZSCAN12
5598,DGKH,CMC4,CECR5-AS1,CREB1,ERLIN1,SLC19A2,RP11-529K1.4,DNMBP
5599,SLC35B4,TRPV3,CCDC154,SLC38A1,BLM,RNF157-AS1,FSCN3,ADAT3
5600,SNX18,ATP1A3,MIPEP,ALS2CL,RP11-296O14.3,YY2,KIAA1671,ARAP3
5601,AC083949.1,ATP8B3,RP11-78O7.2,EIF1AY,CTA-14H9.5,RP11-532F12.5,ZFR2,WDR7
5602,NMNAT3,BCL2L2,KIF3B,GTF2I,DEPTOR,RP11-61J19.4,LINC01063,LACC1
5603,FOCAD,RANBP9,TRIM52,CTD-3088G3.8,IFNGR2,RP11-314O13.1,RP1-151F17.2,TAF4B
5604,ALG2,MEGF6,DKFZP434E1119,RDH10,HMGCR,C1orf61,RPS10P7,SIMC1
5605,JRKL,C6orf229,HIST1H2BC,PEX6,CLCN5,TENM1,RP11-415F23.2,RP1-102H19.8
5606,C9orf139,PLGLB1,NT5DC2,AP1S1,SETD1A,ZNF354C,AC026202.1,RP11-124N14.3
5607,IGSF22,CTB-55O6.4,RP11-490O6.2,APOA1,FAM229B,ZNF280B,RP11-245J9.4,GKAP1
5608,KIAA1958,SSC5D,UCP3,EDC3,SPTLC3,RP11-33O4.1,PDP2,TMEM9B-AS1
5609,GRK5,PRSS36,BTBD7,KIAA0020,DHFRL1,KLHL23,RP11-379H18.1,TMEM201
5610,CASP5,RP1-29C18.10,FLYWCH1,MBLAC2,CD300C,ZNF879,SPIRE2,ACTR5
5611,RP1-257A7.5,CTD-2006K23.2,USP31,ANKEF1,USP46,VPREB1,SSTR3,PHF13
5612,LINC00511,SORT1,ABCB8,HUS1B,CAB39,PARK2,RP11-1055B8.4,ASB2
5613,RP11-158K1.3,AKAP11,KIAA1731,TMX3,TEFM,RBL1-1,DSCR9,CCDC106
5614,SCCPDH,SAMD4B,PVRL3,IRAK2,GSTO2,RP11-498C9.2,RP11-81A22.5,NAGS
5615,STPG1,GNA11,TRIM74,WNT2B,HIRA,RP11-56G10.2,ESPN,AC018816.3
5616,MTUS1,PCSK4,NUDC,SEC14L2,ACPL2,AC007228.5,RP11-867G23.4,LIN7A
5617,RP11-490O6.2,ZNF562,RP11-705O1.8,ZYG11B,RP11-203J24.8,LOXL2,KCNH2,SETBP1
5618,C2CD2,ARMCX5,EEPD1,YIF1B,C12orf66,TCEAL2,NCKAP1,ZNF382
5619,AC004540.4,C5,CLPTM1L,C7orf13,C11orf49,RP11-477N3.1,CCNF,RAP2A
5620,GFM2,HARBI1,ZNF77,CCNE1,C1RL,KLB,CTBS,FSD1
5621,RP11-128M1.1,POU5F2,ZNF764,CNTNAP2,TRIB2,RP4-548D19.3,FLJ20306,RP11-542M13.3
5622,SLC25A19,CACFD1,CLCF1,RP11-179B2.2,AC011747.4,RUNDC3B,RP11-490M8.1,CCHCR1
5623,DHX40,UBE2W,IFT122,EXOG,AC022400.2,NUPR1L,RP11-305L7.1,PLAGL1
5624,GALNT1,RP11-166P13.3,RASAL3,LY75,OCRL,AC009950.2,OIP5,LMO7
5625,HIST2H2AB,RP11-677M14.7,RP11-326K13.4,AC015849.19,RP11-700H6.1,ZACN,ALG1L,MBLAC2
5626,GOLT1B,REEP6,AMZ1,FSTL3,KNOP1,GTF2IRD1,RHOD,FAM86C1
