,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
7591,CLIP2,DUSP14,NCOR2,MARCO,CTPS2,MLF1,CTD-2231E14.8,RFFL
7592,SLCO4A1,MMP23B,RP11-350G8.5,SETD8,RP11-126K1.2,MYPOP,PLK4,CEP57L1
7593,AC145110.1,ZMYND15,AC104820.2,TFR2,ZRANB3,MARVELD1,ANKHD1,MIER2
7594,PTPRM,NET1,PLCL1,FBXW8,NMNAT3,GPR68,ZP3,ORC3
7595,TMEM79,RP11-787I22.3,TEX14,QPCT,ZNF286A,ENKD1,PLA2G15,SPATA6
7596,RP11-309M23.1,PLCL1,GEMIN5,FAM177B,C1orf200,TROAP,TRIM37,PPARGC1B
7597,TEX2,RP11-192H23.4,RDH10,RP11-728F11.4,PRRT2,RNU11,PRRG2,OTUD4
7598,CCL2,ZNF175,EDARADD,FOPNL,AK8,CTD-2012J19.3,AC002310.12,KCNG1
7599,WDR66,TMEM177,RP11-50E11.3,SLC9A1,AC116366.6,FAM227B,POC5,PLCG1
7600,GPR42,LY6G5B,ST6GALNAC2,PLEKHM2,ZNF282,AC074183.4,CASP10,TLR8
7601,SH3RF1,CTD-3193K9.4,AC026471.6,RP11-273G15.2,RP4-781K5.2,WBP1,DNHD1,EDC3
7602,ATP5S,RP11-348F1.2,PSMG3-AS1,AGBL5,PRELID2,C12orf42,SCGB3A2,APOLD1
7603,CD1A,KCTD9,AC009948.5,HCAR2,LINC01013,MTERF,CUL2,CHAMP1
7604,RP11-490M8.1,SLC35D1,GPA33,SRXN1,SLX4IP,HABP4,SEPT10,PDIK1L
7605,PARM1,ARFGEF1,PLEKHG4,MYO7B,COL19A1,CYP2U1,CELA1,LINC00339
7606,ZNF200,C10orf95,TYMS,ZNF765,ADAMTSL4,KLRC2,ANKRD16,ARMCX5
7607,RP11-446N19.1,CSF1,CLEC4D,NRAS,CTD-2260A17.1,AC107081.5,ZNF845,IL6ST
7608,GPR34,KDM5A,SPIN3,UPK3A,AC017002.1,NFATC2,LNP1,LOH12CR2
7609,CREB5,HIST1H2BD,HARS,RP5-914P20.5,FIBCD1,SRR,PTCD1,IPMK
7610,TFAP2E,C10orf105,ZNF322,HGD,FBXO36,TMEM135,CTLA4,FAM117A
7611,RP11-258C19.7,MCU,TRIM59,LDHD,PTPLA,LIPE,C3orf33,CRY2
7612,KCNE1,UTS2,ASTE1,ZNF512,PAPD7,CDCA7,VANGL1,TSPAN17
7613,MYO7B,MAPKBP1,RP4-673M15.1,FAM117B,MYO1E,RP11-442N24__B.1,ZNF582,TMEM184B
7614,GNAL,TADA1,TST,WDHD1,RP11-817O13.8,AL627309.1,RP11-442H21.2,PSMF1
7615,SAMM50,C5orf63,SOCS6,PEX11A,ABCB4,ZNF574,TIMM9,TMEM186
7616,XXbac-BPG181M17.6,P2RY14,FASTKD3,FAM212B,TTC4,CNEP1R1,LAMP3,PDE12
7617,TMEM192,LINC00987,SLC8A1,INPP5B,POLA1,CEP170B,TTLL11,IPO4
7618,C19orf18,SYT5,MSS51,AAR2,RP11-863P13.2,AL590452.1,C8orf33,PFDN4
7619,ARHGEF10L,C14orf79,WDR12,RETN,SDCBP2,IL2RA,PBLD,CHCHD6
7620,ANKRD50,CTD-2541M15.1,PAQR7,ZNF19,USP37,TM2D3,SPAG4,CCDC71
7621,RP11-192H23.4,OAZ3,AC096772.6,KCNG1,EXOC3L1,AC009948.5,ZNF573,BACH2
7622,SLC1A5,ZSWIM4,LAIR2,TMEM164,ZNF251,MYH10,USP22,C7orf60
7623,TGFB1I1,SMKR1,RP11-589C21.5,RP1-234P15.4,RP1-317E23.3,SLC39A9,SULT1A1,ZMAT1
7624,GTF3C5,RP1-102H19.8,KIR3DL1,COPZ2,SUPT6H,RP11-798M19.6,FADS1,DSTYK
7625,TMEM163,IZUMO4,CTC-454I21.3,GPR126,ZNF571-AS1,TCP10L,AMY2B,TIMM44
7626,RP11-894P9.1,MEG3,AGGF1,DHX40,CTB-118N6.3,FAM169A,TMEM255B,DNASE1
7627,GOT2,RNF32,LAMTOR5-AS1,RP11-161M6.2,MMP11,RASGEF1A,RP11-542M13.3,RP11-386G11.10
7628,DPF3,COG4,RTKN2,LINC00342,SUN1,TRAF3IP2,MMS22L,SMG6
7629,CTD-2368P22.1,PAX5,MBNL2,RP11-876N24.4,EPHX3,C19orf55,FBF1,ZNF516
7630,RP11-14N7.2,BIRC5,FAM200A,IDS,AGAP3,ZMYM1,RALGAPA2,POGLUT1
7631,SLC15A4,STPG1,MZF1,CEP120,FXN,FAM222B,SPATA6,PIAS4
7632,PRKCE,FOXD2-AS1,RP11-634H22.1,RP11-90D4.3,C11orf63,PRTFDC1,KLF5,SLC18B1
7633,LDLRAD3,LRRC23,RP11-351D16.3,BCR,FTX,N4BP3,CLEC17A,DKFZP761J1410
7634,FAM132A,PRKAR1B,CHEK1,ALDH1A1,RP11-441O15.3,EBF1,ELL2,MZF1
7635,AK9,YES1,HDX,CCDC159,C17orf107,ZNF268,RP11-23P13.6,RP11-304L19.5
7636,TAOK2,ZFC3H1,PPM1D,RP11-817O13.8,ERC1,MBTPS1,CHIC1,RGP1
7637,SETD7,LENG8-AS1,TMEM110,SRGAP3,RAD9A,PLXDC1,BCOR,ETFDH
7638,CTD-2047H16.4,ZNHIT6,RP11-355B11.2,KRT7,SLC30A4,LIMA1,STEAP4,CES4A
7639,ZNF490,DNM3,FGFRL1,AC124944.3,PPARGC1B,SMKR1,CCDC73,CTC1
7640,GALNT12,NUDT17,SDR42E1,ADAMTSL4,PEX11A,AURKC,KCNMB1,POLR3A
7641,AC073072.5,MYBL2,ELMO3,PDE1B,NT5DC3,GALNT6,ERI3,ENPP4
7642,EPHA4,PLA2G6,C22orf26,AC004463.6,CSNK1E,CHST15,MYEOV2,PDCD11
7643,DOCK7,FCRLB,EPB42,C1QTNF4,BCORL1,HHLA3,NUBPL,UGCG
7644,NTNG2,CNR2,AC009961.3,APMAP,INPP5E,DFNB31,GFI1,POU5F2
7645,RP11-10L12.4,TOP1MT,TVP23C,TSNARE1,CLEC4G,RTN4R,SPRY1,SPEF2
7646,ZBTB9,MANSC1,NHLRC1,KCNAB3,CAHM,MMP9,VCP,MOSPD3
7647,ZNF80,RP11-96K19.5,HYKK,PYGL,RP11-522I20.3,SLC35B4,IL12RB2,ATP13A2
7648,TMEM150B,MDN1,GAMT,IER5L,RP11-701P16.5,C5orf63,FAM115C,NAIP
7649,APOA1,PIGA,DCAKD,ABLIM2,GPR160,FAM84B,C17orf67,CEP70
7650,FAM81A,CBR3,EPHA4,CLDN5,SETD2,SETD6,IPPK,PKNOX1
7651,GORASP1,LEAP2,GOLM1,FASTKD3,CCDC102B,PVRIG,IL24,TDRD7
7652,ZNF433,PPP1R13B,FAM114A1,SPTY2D1,RP11-119D9.1,SEPSECS,RTKN2,MTOR
7653,RP11-138I18.2,TM7SF2,USP35,EMD,MEF2A,IRS1,LY6G5C,TEP1
7654,COLCA2,MAD2L1,ZNF615,RP11-158K1.3,SRC,DOLK,SDR42E1,KIR3DL2
7655,LMAN2,ZWINT,FAM198B,CNEP1R1,ARHGAP5-AS1,COPRS,BCL9L,UNK
7656,DDAH2,STIP1,SOX15,LRRC16A,KLHL3,APOA1,TTC39B,SPATA20
7657,STEAP1B,RP11-318E3.9,RP5-1021I20.1,CD300C,CMC4,KIFC1,CACNA1C-AS2,ZNF273
7658,RB1CC1,ATP6V1E2,ZNF527,EXT1,RP3-510H16.3,TAPT1-AS1,SARM1,AC006129.2
7659,C10orf95,UHRF1BP1L,IRGM,KAT7,CYP4F22,AVEN,PPP1R13B,DEDD2
7660,MEGF8,ZNF512,RP1-28O10.1,TNNC2,MTMR8,ZNF251,AC018816.3,TMEM234
7661,CD300LB,ASNS,ZNF618,FOCAD,RP11-214O1.3,PRMT6,UBL7-AS1,FAM43A
7662,AC007386.2,IRAK2,METTL3,TOM1L2,LINC00984,BMP1,SLC25A14,SREBF1
7663,KHDRBS2,ATAD3C,SLC22A18AS,CTD-2630F21.1,RNF217,COPB2,NACA2,COX10
7664,UGT8,ADCY3,LGALS9B,RP11-438L19.1,KCNH8,SRP14-AS1,CEP120,COG3
7665,SLC2A5,PRSS57,ALG11,KDM6A,ANKRD18A,SPATA13,RP11-108M9.6,GTF3C2
7666,COL4A4,LRP3,RP11-339B21.13,AC131097.3,SYT17,GORASP1,RP11-262H14.4,PIGB
7667,EXOC3L1,CCDC102A,BBS12,TMEM176A,CTB-178M22.2,MKI67,ZNF514,SLC35E3
7668,GPR141,RSG1,RP11-5C23.1,MAPK14,RP11-420A6.2,RP11-213H15.1,USP21,RP11-539L10.2
7669,AGBL2,RP11-383C5.4,LL22NC03-75H12.2,PDE8A,CTC-428H11.2,PTK7,AMZ2,KDM6A
7670,RP11-356N1.2,RP11-706O15.1,SEPT8,LYSMD4,GNPNAT1,AF131217.1,DNMBP,ZFP62
7671,RP11-1000B6.3,TUT1,RP11-573D15.9,TEX14,THTPA,MCOLN2,NKIRAS1,UTP14C
7672,PINK1,WRAP53,U91328.19,IGSF22,C15orf38,ENC1,TSPAN18,SLC25A4
7673,CYP2D6,CCDC106,CSE1L,KCNMB3,MIR29A,ZNF845,STK39,FBRSL1
7674,CD226,GTF2I,SLC25A23,C2orf44,FLVCR2,LRP6,DYNC2LI1,GLTPD1
7675,TMPO-AS1,AP000254.8,RP11-10K16.1,S100A13,PRR19,HMGA1P4,TMEM164,GPATCH3
7676,LIN7A,ELK4,L2HGDH,PRR19,CCR9,P2RY14,PTPN18,KIAA0226L
7677,WDR25,RP11-350N15.5,RP11-426C22.5,ATP8A2,RP11-480D4.6,KIR3DL1,SUV39H2,MAP3K6
7678,RP11-54O7.17,C6orf57,AC113189.5,MED26,RNF43,PLCB1,P2RY2,CLMN
7679,RP11-395B7.4,KRT72,TRIM66,RP11-350G8.5,PAK3,LTC4S,RP11-977G19.11,ARSG
7680,CBX8,RP11-467P9.1,PGBD3,CSNK2A1,TBC1D9,LINC00987,CBWD6,DECR2
7681,WLS,THBS1,TRMT1L,ZNF292,RP11-372K14.2,GPR27,IFT46,ADCK2
7682,USP45,GLS2,C6orf99,CTTNBP2NL,TRAM2-AS1,SLX1A,MON2,NF2
7683,C2,AC005253.2,BDNF-AS,ZG16B,ERLIN2,NDFIP2,ZBTB49,AHSA2
7684,FCAR,RRAGD,AC024592.12,RP11-166B2.8,CRIP3,SMPD3,ME2,MDN1
7685,KRTCAP3,IPPK,SH3GLB2,KIAA0141,GPR27,EARS2,AC145212.1,NUFIP2
7686,NME8,CTB-113I20.2,ZNF74,PAOX,WRNIP1,ZNF175,WDR86,CDC42EP4
7687,C1orf109,C11orf80,AC009506.1,SLC4A4,ALDH1A1,RHPN1,RP11-553L6.2,FMNL3
7688,SHISA4,SLC45A1,SPEN,RP11-225H22.7,RIMKLB,CISD1,TUBB2A,PURA
7689,ESR2,RP11-110G21.1,MCF2L2,HIST2H2AB,NAPSA,CTC-273B12.10,KLHL21,SLC20A2
7690,MYO18A,FAM106A,SMG8,MEGF8,AMY2B,MAP9,ATP9A,PIK3CA
7691,SLC22A4,SRP14-AS1,RP5-1091N2.9,PCP2,KRT7,TRIM2,NLRP1,TLR10
7692,KIAA1671,ZHX1-C8ORF76,CCDC176,TVP23A,MANSC1,KIAA0556,TNPO2,TAF2
7693,CTB-55O6.12,CTD-2162K18.5,ANKRD28,RP11-440L14.1,CNTLN,ZBED6,BAG3,NECAP2
7694,HBQ1,ZNF181,IL23R,P4HTM,AC009961.3,KLHL25,NDUFAF6,SPRYD7
7695,CTD-2544N14.3,RP11-539L10.2,METTL22,SLC1A4,LRRC20,PRKCZ,FGD4,SLK
7696,CTD-3154N5.1,SHF,SUCO,ARHGAP26,RP5-1136G13.2,SLC22A17,RP11-70P17.1,BBS9
7697,RP11-110I1.14,SNURF,FAM173A,HSP90AA1,SNX33,MTFR1,LRRIQ3,ZNF18
7698,ZNF613,PPP1R3D,OXSM,TOMM34,PRPF40B,C11orf80,ATP6V0A2,JDP2
7699,TMEM131,DLGAP1-AS2,ZUFSP,GCC1,C6orf99,CTD-2083E4.6,POLR2B,RP11-572O17.1
7700,ADAMTS6,MAP9,CLCN5,EPOR,PSD,CHM,HDLBP,OXR1
7701,CCDC151,FER,BRSK1,SIPA1L3,RP11-680A11.5,SLC35B2,ZDHHC9,NUP205
7702,AGBL5,CTC-534A2.2,THBS3,AC024592.12,RP11-126K1.6,PLD6,ZNF75D,FCHSD1
7703,CDK14,RP11-332H14.2,CTD-2319I12.2,DAPP1,C5orf51,HBQ1,EVA1C,SOCS4
7704,KAT2B,SH3BGRL2,RP11-179B2.2,SLC35A4,MSANTD4,ARMC2,GTF2H3,LRRK2
7705,VDR,AC011558.5,SGK3,RP11-178C3.2,BEST4,RUSC1-AS1,ENPP5,C16orf70
7706,EFCAB4A,RHPN1,FAM13B,CIB2,GAS6,PRC1,TRAPPC10,MCCC2
7707,AC104655.3,C9orf37,FOXP3,RETSAT,CLEC4A,GMEB2,TTC30A,P4HA1
7708,PDE8A,SEPT10,MT3,WDR25,EXD3,FMO4,MMAA,HIRA
7709,GOLIM4,P2RY1,KLHL32,USP6NL,LYPD3,CTD-2260A17.2,CBR3,AMN1
7710,CAPN3,SLU7,MOB3C,GS1-124K5.3,RSG1,CDK2,DHCR7,ASNS
7711,ZNF30,PTPN13,NAA16,AC093157.1,KB-1507C5.2,URB1,NAP1L5,COG6
7712,CTD-2012J19.3,FBXO5,RP11-792A8.4,S100A5,PTGDR2,PFN2,C6orf99,TBC1D8
7713,TNNC2,PCBP4,RP11-393I2.4,NFIX,SPEG,DZIP3,RP11-649E7.5,CSE1L
7714,EVI5,PDCD1,ACRC,MBOAT2,LACC1,PIGZ,LINC00341,RALGAPB
7715,RP11-158I9.5,ARHGAP22,AL590452.1,BCL2L14,MEG3,MFSD9,CCNE2,AAR2
7716,ZNF503,CCSAP,PRRT1,PRKCDBP,AP006222.2,LAX1,WIZ,FOXK2
7717,AC069513.4,ANK1,RGL2,PSPH,UFSP1,RP11-1100L3.8,ZFP41,RFNG
7718,CTD-2135D7.5,ACAD8,BOLA2B,CCDC102A,CCDC122,NCAM1,OLFM2,ABCB1
7719,FAM198B,PHLPP1,ABL1,CDKL1,TRIB2,KIF11,RP11-66N24.3,ST3GAL4
7720,SGCA,AC008443.1,XXbac-BPG252P9.10,ARL5B-AS1,CDC42EP1,FCRLB,OR2A1-AS1,ZUFSP
7721,AC104699.1,ACACB,SLC4A2,MYLPF,OSBPL1A,MSANTD2,FAM200A,R3HCC1L
7722,SLC35D2,ZBTB49,RILPL1,TGM2,CABLES2,CYB561D1,STRADA,ITFG3
7723,FAM153B,AC015849.19,PSPN,RP11-692D12.1,NOD2,CPLX1,EXOC6B,IKZF5
7724,UBAC2-AS1,GPR153,LRRC48,OTUD1,CXCL10,RAD51D,C11orf21,CTA-384D8.34
7725,RP11-22P6.3,HIST1H1B,ZNF507,KIF3A,CLEC4D,PARG,RDH13,LMBR1
7726,TAF4,ZNF182,C14orf79,AL590452.1,NDOR1,GS1-114I9.1,ATP1B1,TMEM229B
7727,RELL1,TMEM42,CDAN1,RP11-378J18.3,ARMCX6,C19orf35,ADIPOR2,CAPN10
7728,AC007880.1,VPS18,INSL3,PAN2,SLC22A4,LOXL1-AS1,SYTL4,PNPLA4
7729,EPB41L5,ABCB9,FDXR,DSC2,MIR940,SHQ1,SLC37A4,MAF
7730,RP11-511B23.1,NPL,RRAGD,CPSF3,RP11-137H2.4,KLHL3,AC005932.1,CAPRIN2
7731,CTB-61M7.2,ATL1,THAP2,PATZ1,RP11-378J18.3,STX1A,WDR83,RP11-611L7.1
7732,RP5-1024G6.7,ZCWPW1,RP11-367J11.3,SLC19A1,PRRG2,MICU3,BLZF1,C9orf38
7733,AP001412.1,TRIM47,AFAP1,OTUD7B,AC005076.5,HELLS,PTGS2,RP11-863P13.2
7734,RP11-324I22.4,RP11-412D9.4,ZDHHC18,CTD-2047H16.4,MTFP1,TRIM47,MED26,PRKD3
7735,WNT16,MYO16,PHGDH,XXbac-BPG181B23.7,NCAPH,RP11-191L17.1,GXYLT1,FAM208A
7736,LRRC46,RP11-326C3.12,SSC5D,TRPM4,RFPL1S,ZNF35,DRAXIN,MYCL
7737,USP37,NEURL4,RP11-644F5.11,PLTP,ZNF558,TP53INP1,RP11-146F11.1,NFIC
7738,DNAJC5B,XYLT2,MAP1S,RP11-514O12.4,RP11-215P8.3,AVL9,TAPT1-AS1,DEAF1
7739,BEND2,RBM45,SLC2A8,SRGAP2,MORN3,RP11-169D4.2,MFSD4,ACADS
7740,RP5-930J4.4,GPATCH1,ASB7,ANKRD23,AC006129.4,RP11-164H13.1,GPHN,TFB2M
7741,GORAB,RP11-1348G14.5,LIPC,SORD,TLR3,CCDC102A,SIPA1L3,CYBRD1
7742,FAM47E-STBD1-1,GCDH,SEPT6,ACSBG1,ACVR2B,RP11-1000B6.3,TNS1,IDH1
7743,COLGALT2,ZFY,C1orf115,SSPN,CASD1,HIST1H4A,ZNF445,FAM193A
7744,RP11-791G15.2,ZFAND3,ZNF80,HILPDA,RP11-223C24.1,RP11-42I10.1,PORCN,SLC9A6
7745,CXCL10,RP11-258C19.7,ALOX12,HSPA8,TNFSF13,DVL1,CCDC64,FAM98A
7746,LGALS9C,SEL1L3,FAM168B,RPH3A,RP1-187B23.1,SLX4IP,MIER3,ZBTB17
7747,AGAP5,CTB-12A17.3,RP11-90D4.3,BEX1,MS4A14,ZNF14,C5orf22,TBC1D2
7748,CRIM1,RP11-66N24.4,RP11-401F2.3,PGGT1B,LARGE,KISS1R,EBF1,RUNDC1
7749,TUBB4A,CCDC82,RCN3,SH3TC1,VENTX,CDKN2AIP,UXT-AS1,ZNRF2
7750,ZNF70,SEMA4C,TMEM144,CATSPER1,ADAM12,AHDC1,CEP250,KCTD17
7751,IRGM,BRPF1,MED21,ZNF669,ZNF763,LRIG1,XXbac-BPG181B23.7,C16orf72
7752,BIRC5,ARID2,RP4-583P15.10,PRR14L,RP11-410L14.2,ZNF429,ZNF585A,SKI
7753,XXbac-B476C20.9,C10orf12,ZNF354C,KCNK6,MAP6D1,IL1R2,FBXO10,TONSL
7754,C9orf91,NCALD,ZXDB,STK39,CEP152,LGALS9B,AMMECR1L,INO80D
7755,CCDC106,KCNH8,SPECC1L,IDNK,RP11-334C17.5,USP35,ERF,KPNA5
7756,KCNQ5,GATM,PGAM5,SLC24A1,RP11-734K2.4,UTP15,ADORA3,TAF1B
7757,IL24,RP11-559M23.1,NOD1,WDR1,HARBI1,ZNF16,MED21,WDR25
7758,RP11-426C22.5,LINC00893,PATZ1,C20orf194,HILPDA,RP11-712B9.2,ACSF2,CYP4F22
7759,FOLR2,EPHX2,COPA,SPESP1,VPS37C,RP11-973H7.4,GPR68,HHLA3
7760,GPR153,AP003068.23,EPHX1,RAP2C-AS1,OAF,C5orf42,HDHD3,SNX30
7761,C1orf50,MUC12,RP11-247A12.2,ATP13A3,RP3-428L16.2,PCBP4,SVOPL,ZNF227
7762,MCF2L2,RP5-1180E21.5,LINC01011,SLC25A32,BBS2,RP11-552D4.1,NPIPB6,SULT1A4
7763,CHST7,IKBKG,GPR42,CACFD1,KLK1,DNAJC18,APOA1,BCL2L11
7764,RP3-508I15.21,COL6A2,LRRC24,CTB-12A17.3,TMSB15B,RP11-97C16.1,METTL6,ZNF317
7765,HAS3,PRELID2,RFPL1S,ZGLP1,ZNF630,ZNF562,ZC3H13,DCTN4
7766,RP3-510H16.3,RP11-54O7.11,DNAJC3-AS1,RP5-821D11.7,RAD18,AC021860.1,SLC35D1,TESK1
7767,DNAJC1,AP5Z1,LL21NC02-1C16.2,ZNF814,RP11-803B1.8,S100A5,RBL1,PCNXL4
7768,EP400,ZNF184,SEC23B,BAHD1,CPNE8,GGT7,CCNT1,TBL3
7769,CENPW,C15orf26,RP11-536C5.7,CTDSPL2,RP11-517P14.2,MSS51,SUZ12,LINC00954
7770,SLC25A29,ZGPAT,TAF5,UCK1,TLR7,LRRC61,ALG11,CASP2
7771,C11orf74,TMEM187,TNNT1,CBWD3,DNAJC16,MPP6,FUK,CWF19L1
7772,CD37,RB1CC1,ZNF510,USP51,CTD-3193K9.4,HACE1,ABCA3,FAM76A
7773,C20orf197,TMEM27,OPLAH,GNMT,RP11-841O20.2,RP4-607J23.2,N4BP2,RP11-295G20.2
7774,ZNF879,PBLD,SUV39H1,LONRF3,EBLN2,NT5DC2,RP11-536K7.3,KLHL42
7775,RP11-203J24.8,B3GNT1,MAP7,RP11-337C18.8,CTD-2012K14.7,RFPL2,C9orf3,RP11-115C21.2
7776,TRAM2,ZNF557,PIGW,RP11-178G16.4,TNFAIP8,MVK,LMNB2,IFNG-AS1
7777,CDC45,VPS26A,PLCG1,TNRC18,KIF27,PPP2R2B,LRRC1,C5orf28
7778,RP11-95D17.1,HIST1H4H,ICK,MEOX1,BOLA3-AS1,ZNF181,CYSLTR1,NUP85
7779,MIR497HG,PAOX,IL17RE,NHSL1,DNM1L,DNASE2,CXorf65,TTC21B
7780,MCTP1,CDC45,YES1,TMTC3,C5orf34,HIST1H1B,PEX7,RRP15
7781,ITGAM,SLC2A1,DMWD,ARHGEF10,RP11-393I2.4,RANBP3,EML6,RP11-140K17.3
7782,BNIP1,RP11-173M1.8,PPP1R9B,UNC5CL,CCDC183,CENPM,NCR1,SGMS1
7783,MIR181A2HG,CABIN1,TTC30A,DSE,TEX14,MTX3,ZNF718,SLC25A19
7784,MAMSTR,RP5-1021I20.1,ZNF555,KDM7A,NFIX,RQCD1,DISC1,APOL1
7785,SMARCAL1,DCLRE1A,PRRG2,RSBN1L-AS1,SCD,MMP23B,ZNF513,NUTM2A-AS1
7786,C9orf169,PIGL,MEOX1,AP001046.5,ARSB,GSDMB,HIST1H4J,GTF2IRD2B
7787,CXCR1,ZNF367,QSER1,CCNT1,VAV2,APC,RP11-389O22.1,MAPKBP1
7788,SIAE,NOD1,ITPRIP,PRICKLE3,SLC6A16,NRIP1,AL590452.1,FAM91A1
7789,FAM72B,RP13-314C10.5,LSM14B,HMGA1P4,TIGD5,TSTD2,RP3-325F22.5,CTC-459F4.3
7790,RP11-145M9.4,ICA1,ACVR1C,ARMCX2,METTL20,FBXO30,PPP1R12B,SENP2
7791,CCDC9,DAPK2,CHCHD6,CRELD2,TMEM180,EDC3,MCTP2,TBCE
7792,KIAA1598,HELLS,RP11-973H7.1,VWDE,SOCS4,BRCA2,CKAP5,INPP5B
7793,ECI1,CCDC58,MAGEE1,NLRP2,DPY19L2,PSD4,NHEJ1,TIAM1
7794,CARD6,ZNF251,PAPOLG,KATNAL1,ZNF133,EGR2,GIMAP1,ZNF689
7795,RP5-1098D14.1,DENND2C,EXOC3L1,BNC2,CCDC154,ZNF404,RP5-943J3.2,LEAP2
7796,C10orf118,RP13-516M14.1,ZNF12,RP6-99M1.2,FEM1C,TM7SF2,NANP,CRTAM
7797,CABP7,MED13,RNASEL,AC004257.3,CD300LB,RP11-66N24.4,ARL17B,NT5C3B
7798,EXOSC4,BOLA2B,SH3GL1,HCFC1-AS1,CACNA1I,AP003774.1,TDP2,VMAC
7799,RP11-805J14.5,RAP2A,CRAMP1L,ZSCAN21,RP11-750H9.5,IRAK2,DIRC2,WDR5B
7800,CALU,CCDC153,SCGB1B2P,UGT2B17,FAM106A,CEP19,LEAP2,RAD51B
7801,C1orf112,ALDH18A1,CRHBP,CTDP1,GUCY1A3,TRIM37,TCF19,METTL2A
7802,PDCL3,GPR55,NCAPG2,THAP8,LY96,UBQLN4,SYCE1L,RP5-940J5.9
7803,C11orf82,TBC1D32,HSD11B1,ZFP41,GRK4,LINC01146,ASPH,MED27
7804,LY96,KEAP1,HIST1H4H,CCNJ,SERPINE1,LINC01023,ZCCHC18,RP11-343N15.5
7805,ZG16B,ZFYVE9,FBXO9,HPCAL4,SSPN,PLEKHH2,NGRN,PUSL1
7806,NLN,OTUD7B,FZD3,ZNF442,ZNF239,LINC00694,AFAP1L2,RAMP1
7807,MMP25,ERCC6,RP11-415F23.4,DMD,ZDHHC23,CALD1,KIAA1731,HSPA13
7808,VIT,AMZ2,TWSG1,EFHD1,RP11-192H23.4,ZNF76,RAB40C,PAPD5
7809,ULK4,HYKK,RP11-191L17.1,ZBTB9,RP11-413H22.2,KB-1208A12.3,ZFC3H1,TOP1MT
7810,CNNM4,CCNJL,CYB5R3,CKB,AP003419.16,GPRASP1,FSTL1,DNAL4
7811,CSTA,AK9,TRUB1,ZNF77,RNF207,SLC45A4,ARL10,MAFK
7812,P2RY2,TRIP10,USP51,POU6F1,FECH,RAC3,PDK3,LIPE-AS1
7813,RND1,GNA13,SLC39A6,BCL2L2,C11orf95,CTD-2514K5.2,SLC6A16,ARL8A
7814,RP11-849H4.2,KDM4D,CBR4,ZNF79,CCNE1,MYBL2,RAB6B,POLG2
7815,CCNE1,NARFL,NPHP4,C11orf95,ZNF513,BDH1,RP11-54O7.17,ACTL10
7816,FBXL18,AC007386.2,DNMBP,DET1,TMEM170B,DOCK9,LRRC37B,FAM98B
7817,RP11-297B17.3,TMEM161B-AS1,AC015849.19,RPUSD4,LINC00115,NPTN,ARHGAP11B,ADNP
7818,CD151,TOP3B,GREM2,CHTF18,PAIP2B,TDRD9,NKD1,DOHH
7819,BAZ1B,RP5-887A10.1,HIST1H3D,TBC1D15,FBXW9,ZBTB14,AC093642.3,KIF13B
7820,DNAL1,NUAK2,TMEM45B,BTBD7,SULT1A4,FRMD4A,GADD45G,CCDC154
7821,RP11-279O9.4,RP5-1148A21.3,ASB9,ZNF616,SNX21,RP11-802O23.3,USP44,ASB7
7822,FSD1,CRYM,UBE2V1,DNAJC24,EXD2,RP11-492E3.2,MICB,METTL8
7823,EDARADD,AURKA,KIAA1377,TNFRSF13C,TP53I3,AK9,RP11-412D9.4,RP1-197B17.3
7824,VSIG10L,RP11-104L21.3,RP11-815J21.2,RIMKLB,PKIA,BIK,RP11-488C13.5,CEP120
7825,CDC20,AP001058.3,SLC7A1,CXCR2,MOB1B,ZSCAN22,LINC00954,TYW3
7826,AP003774.6,B4GALT5,WDR19,F2RL1,UBTD1,PRSS57,RNFT2,EID2B
7827,SEPT8,ATP2A1,FADS1,RP11-89F3.2,ZXDB,SAP30,ATP8B1,UTP14A
7828,KCNMB1,NARS2,RCOR3,GPS2,C2,MEF2BNB-MEF2B,ZNF547,FBXO33
7829,SFXN2,UBL7-AS1,GTSCR1,DHFRL1,PDE7A,NCR1,KCNQ5,CREBZF
7830,RP11-793H13.10,RP11-658F2.8,RP11-65J3.1,MGLL,INO80,PAQR7,ZNF16,TMEM156
7831,RP11-159H10.3,ZNF286A,CEBPE,RP11-290D2.3,SLC37A2,RP11-873E20.1,DPH1,BYSL
7832,RP11-98D18.9,RP11-483P21.2,FAM13A,CTC-503J8.6,ZFPM1,AUTS2,CCL2,ECI1
7833,PIGM,DUSP22,NFE2L3,ADAT1,AC006994.2,KLC4,LARGE,KALRN
7834,RYR1,RP11-734K2.4,DDX51,UBE2T,ZNF516,TSPAN7,SUFU,RMI2
7835,WDR86,RP11-338C15.3,DOLK,NRBP2,MICALL2,CYTL1,RP11-873E20.1,GHDC
7836,EPM2A,RP11-517P14.2,TM2D1,GINS4,RP4-816N1.6,UBXN7-AS1,PLEKHH2,ZNF792
7837,IL10RB-AS1,RP3-473L9.4,RNF207,L3HYPDH,MYB,RP4-536B24.3,PROS1,CEP170
7838,AC137932.1,SBF2-AS1,KIAA1683,PRSS36,ZNF69,RP11-796G6.2,TYK2,C17orf103
7839,ZSCAN21,RAD18,MED6,APAF1,LYNX1,AZI1,ZNF341,UBE2T
